epoch,train_MSE,train_PGC,test_MSE,test_PGC
220,0.00643388,99.325,0.0363212,95.15
221,0.00646851,99.2813,0.0363383,95.125
222,0.00620861,99.3625,0.0369183,94.975
223,0.00598607,99.4313,0.0354177,95.175
224,0.00524432,99.5313,0.0352068,95.075
225,0.00564185,99.4813,0.0350835,95.4
226,0.0101877,98.7938,0.0399537,94.7
227,0.00554025,99.4188,0.0355016,94.975
228,0.00512616,99.525,0.0349147,95.175
229,0.00881714,98.95,0.0387503,94.85
230,0.00680556,99.25,0.0368846,95.025
231,0.00567688,99.4188,0.0353339,95.2
232,0.00572081,99.4313,0.0357052,95.175
233,0.00510532,99.5187,0.0347208,95.425
234,0.00530126,99.4875,0.0358639,95.275
235,0.00592085,99.3937,0.0372369,94.85
236,0.00526826,99.4625,0.0363982,95.05
237,0.00691436,99.2813,0.0372941,95.05
238,0.00491389,99.55,0.0351993,95.2
239,0.00619317,99.3688,0.0370308,95
240,0.00510188,99.4938,0.0352554,95.325
241,0.00465892,99.5687,0.0343907,95.425
242,0.00737184,99.125,0.0378321,94.85
243,0.00518612,99.55,0.0361613,95.025
244,0.00485868,99.5625,0.0355517,95.075
245,0.00602821,99.4375,0.0346438,95.425
246,0.0057462,99.4063,0.0360921,95.3
247,0.00441363,99.6125,0.0353752,95.225
248,0.00473429,99.575,0.0356376,95.125
249,0.00533428,99.4625,0.0367768,95.175
250,0.00468187,99.6188,0.0350931,95.525
251,0.00639197,99.3438,0.0388435,94.925
252,0.00497651,99.4938,0.0371016,95.075
253,0.00395615,99.6813,0.0347531,95.175
254,0.00582676,99.3812,0.0370743,94.875
255,0.00494965,99.5812,0.0356326,95.35
256,0.00444266,99.6188,0.034718,95.175
257,0.00463434,99.575,0.0361967,95.2
258,0.00504722,99.5375,0.0372256,94.95
259,0.00538703,99.4562,0.0377075,94.85
260,0.00390629,99.7125,0.035079,95.5
261,0.00410278,99.6312,0.0360874,95.125
262,0.00496434,99.5187,0.0345071,95.325
263,0.00474236,99.5625,0.0362185,95.1
264,0.00451104,99.5938,0.0359351,95.175
265,0.00416305,99.6312,0.0348814,95.35
266,0.00489533,99.4813,0.0364891,95.1
267,0.00521915,99.45,0.0373958,94.8
268,0.00549216,99.4875,0.0377167,95.025
269,0.00411745,99.6563,0.035451,95.225
270,0.00414784,99.6188,0.0356486,95.075
271,0.00496495,99.5187,0.0372441,94.975
272,0.00445587,99.5625,0.0357075,95.05
273,0.00370582,99.7,0.0347095,95.225
274,0.00444783,99.625,0.0365027,95.175
275,0.00424245,99.5812,0.0362092,95.225
276,0.00372232,99.6563,0.0353815,95.25
277,0.00411335,99.65,0.034901,95.275
278,0.00357237,99.7062,0.0341992,95.725
279,0.00380703,99.65,0.035998,95.15
280,0.00475976,99.5062,0.036449,95.15
281,0.00530596,99.425,0.0383956,94.775
282,0.00353844,99.7375,0.0354181,95.275
283,0.00532244,99.4437,0.0387589,94.75
284,0.0031503,99.7438,0.0349458,95.2
285,0.00490804,99.5062,0.0367812,95.075
286,0.00372605,99.65,0.0348447,95.45
287,0.00421542,99.6375,0.0356949,95.275
288,0.00371145,99.6625,0.0345133,95.45
289,0.0043105,99.5875,0.0362637,95.2
290,0.00365843,99.6875,0.0363066,95.175
291,0.00408971,99.6,0.0359914,95
292,0.00322177,99.725,0.0350995,95.175
293,0.00309062,99.7625,0.0355536,95.25
294,0.00351124,99.6625,0.0350525,95.425
295,0.00306884,99.75,0.035478,95.075
296,0.00350687,99.7062,0.0369899,95.2
297,0.00325677,99.7062,0.0361145,95.25
298,0.00337183,99.75,0.0352692,95.3
299,0.00300523,99.7625,0.035529,95.05
300,0.00337776,99.725,0.0361879,95.175
301,0.0031704,99.7562,0.0365317,94.925
302,0.0031329,99.7188,0.035269,95.2
303,0.00313837,99.7375,0.0346243,95.25
304,0.00334113,99.725,0.0355144,95.05
305,0.00278452,99.8,0.036026,95.125
306,0.0034144,99.7,0.036679,95.025
307,0.00289281,99.7375,0.0353577,95.225
308,0.00290169,99.7375,0.0360191,95.225
309,0.00333251,99.7,0.0356983,95
310,0.00578114,99.3375,0.0386713,94.925
311,0.00330545,99.7125,0.0366844,94.95
312,0.00308998,99.7188,0.0360509,95.2
313,0.00260876,99.775,0.0353696,95.125
314,0.00370111,99.6563,0.0354395,95.425
315,0.00312196,99.7687,0.0352928,95.225
316,0.00288645,99.7625,0.036626,95.1
317,0.00353333,99.6625,0.0371717,95.125
318,0.00319444,99.7062,0.0351301,95.375
319,0.00306021,99.7438,0.0354848,95.225
320,0.00363111,99.675,0.0372264,94.9
321,0.00261873,99.7875,0.0369313,94.975
322,0.00321864,99.7125,0.0375052,94.9
323,0.00263677,99.8187,0.0359411,95.25
324,0.00284821,99.7562,0.0362997,95.15
325,0.00264789,99.7813,0.035974,95.3
326,0.00290729,99.75,0.0362069,95.075
327,0.00295997,99.7313,0.0359949,95.325
328,0.00237148,99.825,0.0354738,95.2
329,0.00302197,99.7375,0.0360179,95.125
330,0.00243367,99.7938,0.0358173,95.2
331,0.00230894,99.825,0.0354898,95.125
332,0.00247486,99.7813,0.0353126,95.4
333,0.00239442,99.8063,0.0354352,95.075
334,0.00271182,99.7438,0.0359895,95.225
335,0.00238915,99.7562,0.0360688,95.075
336,0.00227176,99.8625,0.0364727,95.175
337,0.00303313,99.7687,0.0374193,95.25
338,0.00233767,99.8375,0.0356036,95.275
339,0.00225865,99.8187,0.0344504,95.125
340,0.00242217,99.7938,0.0346102,95.45
341,0.00264197,99.775,0.0362225,95.225
342,0.00226017,99.8125,0.0355286,95.325
343,0.0030008,99.7438,0.0368866,95.075
344,0.00240874,99.7813,0.0353969,95.325
345,0.00221443,99.8125,0.0360639,95.3
346,0.00213727,99.85,0.0352255,95.375
347,0.00229913,99.8063,0.0354098,95.35
348,0.00226966,99.8375,0.0367973,95.025
349,0.00239514,99.775,0.0360396,95.35
350,0.00210889,99.8375,0.0348921,95.325
351,0.0027419,99.7687,0.0347997,95.2
352,0.00231223,99.8438,0.0371333,94.95
353,0.00276898,99.725,0.0364834,95.1
354,0.00212106,99.85,0.035954,95.225
355,0.00246521,99.7813,0.0364723,95.35
356,0.00228148,99.8125,0.0361144,95.175
357,0.00197105,99.8312,0.0349833,95.225
358,0.0021277,99.8125,0.0356167,95.2
359,0.0020939,99.8438,0.0351866,95.325
360,0.0032848,99.7,0.037618,95
361,0.00191124,99.8438,0.0355647,95.25
362,0.00274936,99.775,0.0387638,94.875
363,0.0021163,99.8187,0.0362955,95.125
364,0.00205869,99.8187,0.0352583,95.275
365,0.00229855,99.8,0.0368188,95.225
366,0.00273477,99.7625,0.0359982,95.275
367,0.00213378,99.85,0.0349472,95.275
368,0.00192397,99.8563,0.0356658,95.3
369,0.00181456,99.8937,0.0355595,95.2
370,0.00184554,99.85,0.0353476,95.35
371,0.00226142,99.7938,0.0358687,95.125
372,0.00192915,99.8625,0.0356555,95.175
373,0.00176574,99.8937,0.036525,95.1
374,0.00175116,99.875,0.0349934,95.35
375,0.00181547,99.8688,0.0354236,95.225
376,0.00188678,99.8625,0.036273,95.225
377,0.00202559,99.825,0.0347547,95.55
378,0.00260751,99.7687,0.0370422,95.1
379,0.00228177,99.8,0.0376602,95
380,0.00160048,99.8625,0.0354584,95.2
381,0.0022024,99.825,0.0373318,94.85
382,0.00190968,99.85,0.0362128,95.1
383,0.00212407,99.8375,0.0362316,95
384,0.00167893,99.8812,0.0355112,95.3
385,0.00178128,99.8812,0.0354243,95.2
386,0.00191935,99.85,0.0356142,95.325
387,0.0016989,99.8375,0.0351791,95.4
388,0.00153562,99.8812,0.0349715,95.275
389,0.00188969,99.8563,0.0369189,95.2
390,0.00214275,99.8187,0.0354182,95.3
391,0.001948,99.8125,0.03661,95.225
392,0.00178136,99.8312,0.0358566,95.1
393,0.00163665,99.8563,0.0366244,95.125
394,0.00185605,99.8125,0.0356898,95.325
395,0.0021908,99.7875,0.0357764,95.5
396,0.0016534,99.8625,0.0353646,95.3
397,0.00145586,99.875,0.0361274,95.275
398,0.00159761,99.8563,0.0365291,95.325
399,0.00152597,99.9188,0.0355559,95.375
400,0.00285585,99.7438,0.0394893,94.725
401,0.0015949,99.8563,0.0357579,95.3
402,0.00133604,99.8875,0.0356944,95.275
403,0.00162999,99.875,0.0361795,95.3
404,0.00270269,99.8063,0.0383904,95.05
405,0.00165954,99.8937,0.0360613,95.1
406,0.00191598,99.825,0.0358773,95.275
407,0.00160858,99.8937,0.0357933,95.225
408,0.00179476,99.8625,0.0359594,95.25
409,0.00132358,99.8875,0.0362792,95.325
410,0.00157073,99.8937,0.0362561,95.125
411,0.00219849,99.8063,0.0355273,95.375
412,0.00139816,99.8688,0.0363882,95.25
413,0.00183619,99.825,0.0371207,95.175
414,0.00169404,99.8937,0.0356777,95.175
415,0.00168331,99.8688,0.0371538,95.125
416,0.00167403,99.8563,0.036133,95.1
417,0.001822,99.8688,0.0371675,95
418,0.00153897,99.8312,0.0353256,95.475
419,0.00141101,99.8937,0.0353409,95.5
420,0.00141981,99.8812,0.0351548,95.45
421,0.00170298,99.8187,0.0352302,95.425
422,0.00130087,99.9125,0.0362179,95.35
423,0.00139591,99.8937,0.035763,95.25
424,0.00180507,99.8312,0.0364879,95.225
425,0.00189385,99.85,0.0365051,95.15
426,0.00124726,99.8875,0.0351671,95.4
427,0.00154376,99.8375,0.0360876,95.275
428,0.00146346,99.9063,0.0356581,95.325
429,0.00129217,99.8937,0.0357018,95.3
430,0.00126358,99.9188,0.0364475,95.15
431,0.00152554,99.875,0.0364232,95.325
432,0.00160968,99.875,0.0369464,95.15
433,0.00140816,99.8688,0.035979,95.275
434,0.00142417,99.8875,0.0371047,95.025
435,0.00142956,99.8625,0.0371569,95.15
436,0.00136384,99.8625,0.0364872,95.275
437,0.00125026,99.925,0.0361256,95.05
438,0.0015486,99.85,0.0374338,95.05
439,0.00171391,99.8312,0.0357748,95.275
440,0.00176484,99.8375,0.0352889,95.675
441,0.00124269,99.9125,0.0356259,95.325
442,0.00111817,99.8875,0.0363884,95.3
443,0.0014953,99.8688,0.0366655,95.25
444,0.00129409,99.9063,0.0364478,95.125
445,0.00114031,99.9,0.0352416,95.35
446,0.00159736,99.8187,0.0362253,95.25
447,0.00111779,99.9063,0.0360386,95.325
448,0.00106338,99.925,0.0364126,95.225
449,0.00132622,99.8875,0.0354394,95.3
450,0.000988474,99.9375,0.036145,95.225
451,0.00121127,99.9063,0.0364579,95.225
452,0.00115438,99.925,0.0356782,95.425
453,0.00120831,99.9063,0.0353253,95.45
454,0.0012074,99.9063,0.0361241,95.275
455,0.00126916,99.875,0.0368357,95.05
456,0.0012983,99.9313,0.0364592,95.3
457,0.00108587,99.9,0.0371777,95.05
458,0.00123128,99.9313,0.0354577,95.45
459,0.00135198,99.8688,0.0360751,95.4
460,0.00127565,99.8937,0.0368193,95.15
461,0.00125527,99.9063,0.0362687,95.425
462,0.000982696,99.9375,0.0362095,95.225
463,0.00122643,99.9063,0.0362643,95.175
464,0.00101891,99.9375,0.0363727,95.3
465,0.00142031,99.8812,0.0357813,95.375
466,0.00119278,99.925,0.0361947,95.275
467,0.00202333,99.8125,0.0383986,95.15
468,0.00099546,99.9437,0.035598,95.3
469,0.00126323,99.8937,0.0364694,95.125
470,0.00104854,99.9313,0.0356229,95.45
471,0.00111268,99.9188,0.0367638,95.05
472,0.000976992,99.9375,0.0359111,95.325
473,0.00101225,99.9375,0.0367274,95.25
474,0.000911021,99.95,0.0354869,95.325
475,0.000970288,99.9313,0.0362392,95.25
476,0.000981713,99.9437,0.0355965,95.3
477,0.0010085,99.9188,0.0361895,95.125
478,0.00101247,99.9188,0.0363236,95.25
479,0.00197408,99.8187,0.0370674,95.275
480,0.00123696,99.9063,0.036253,95.15
481,0.000856589,99.9437,0.0352057,95.45
482,0.00104564,99.9,0.0364511,95.125
483,0.000996042,99.9313,0.036491,95.35
484,0.00109947,99.9125,0.0361462,95.25
485,0.000893359,99.9188,0.0358418,95.275
486,0.000935976,99.925,0.0360521,95.225
487,0.00100635,99.9063,0.0353227,95.325
488,0.00100783,99.925,0.0361852,95.15
489,0.00092665,99.9375,0.0354392,95.525
490,0.00104413,99.95,0.0377475,95.1
491,0.000901187,99.9562,0.0370421,95.2
492,0.000842154,99.95,0.0363328,95.35
493,0.00108057,99.9188,0.036949,95.075
494,0.000833733,99.975,0.0364633,95.225
495,0.000737598,99.95,0.0359625,95.2
496,0.000883267,99.9437,0.0353541,95.375
497,0.000793566,99.9562,0.0362376,95.3
498,0.000980381,99.9063,0.0362677,95.375
499,0.000871737,99.9437,0.0360382,95.275
500,0.000964929,99.9375,0.0360824,95.325
